Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Einar,Moe,Eidegropa 2A,Sigurdstad,7013,Norge,NO,19910610-0224,+47,430 50 812,1991-06-10,True
Tellervo,Seppänen,Jägerhorninpolku 46,Raasepori,44773,Finland,FI,19410502-096C,+358,+358 300062351,1941-05-02,True
Matias,Koivunen,Louhentie 34,Nurmijärvi,06565,Finland,FI,19900501-082N,+358,+358818515150,1990-05-01,True
Tove,Engen,Johannessenringen 00,Olastrand,9475,Norge,NO,19950404-4108,+47,96081732,1995-04-04,True
Brianna,Hodge,Andrew Mission 079,Vegaland,53912,Danmark,DK,19601124-2766,+45,+1-479-832-1716x0413,1960-11-24,True
Ragnhild,Næss,Ellingsenhaugen 9,Audfoss,4308,Norge,NO,19950205-6437,+47,42 76 72 82,1995-02-05,True
Julie,Hanssen,Iversenspranget 020,Unnistrand,7341,Norge,NO,19720406-7270,+47,60237432,1972-04-06,True
Anders,Lundqvist,Parkgatan 0,Skövde,40388,Sverige,SE,19631127-2398,+46,+46 (0)87 07 64 27,1963-11-27,True
Berit,Pettersen,Ruudberget 23,Sivertsen,5285,Norge,NO,19410524-8703,+47,452 18 411,1941-05-24,True
Christy,Smith,Petty Flats 62681,Olsenville,22472,Danmark,DK,19890509-2307,+45,001-648-590-6881x4250,1989-05-09,True
Alf,Lunde,Isaksenalléen 6A,Vik,8475,Norge,NO,19671104-2459,+47,922 96 909,1967-11-04,True
Elizabeth,Patrick,Monique Causeway 5667,South Nicole,33877,Danmark,DK,19500406-7942,+45,785-809-5906x10293,1950-04-06,True
Stian,Mathisen,Dahlalléen 7,Berg,6983,Norge,NO,19490509-2831,+47,+47 87 12 10 95,1949-05-09,True
Travis,Stewart,Christine Lock 1215,Sotoport,87539,Danmark,DK,19580406-3957,+45,448-702-3707x8383,1958-04-06,True
Ines,Lundell,Idrottsvägen 20,Alingsås,58438,Sverige,SE,19620211-4627,+46,08-87 12 43,1962-02-11,True
Patrik,Eriksson,Ängstorget 1,Örnsköldsvik,51303,Sverige,SE,19880801-5326,+46,057-01 13 57,1988-08-01,True
Stephen,Arnold,Tony Burg 9116,Wendyburgh,39736,Danmark,DK,19470907-2061,+45,6358078827,1947-09-07,True
Annette,Berglund,Granvägen 276,Jönköping,86424,Sverige,SE,19461109-3790,+46,+46 (0)8 251 415 25,1946-11-09,True
Hans,Hedberg,Kyrkgatan 5,Örebro,46755,Sverige,SE,19890703-9520,+46,0944-99 13 16,1989-07-03,True
Kenneth,Watkins,Sampson Wells 30655,Jasmineberg,55891,Danmark,DK,19560218-3949,+45,+1-976-710-9710x0006,1956-02-18,True
Irene,Brekke,Sandvikgata 43,Hagen,7621,Norge,NO,19901119-8185,+47,469 17 391,1990-11-19,True
Birgitta,Lövgren,Industrivägen 106,Karlskoga,33838,Sverige,SE,19800222-7190,+46,0338-169 20,1980-02-22,True
Martin,Edvardsson,Aspgatan 4,Gävle,97771,Sverige,SE,19970903-5973,+46,08-093 21 23,1997-09-03,True
Anita,Johansson,Kyrkgränd 4,Helsingborg,62178,Sverige,SE,19480716-3123,+46,006-09 75 92,1948-07-16,True
April,Barnes,Theresa Spring 206,Newtonmouth,32175,Danmark,DK,19470730-4206,+45,+1-706-287-4954,1947-07-30,True
Valborg,Karlsson,Parkgränd 4,Luleå,89146,Sverige,SE,19690111-6091,+46,+46 (0)285 699 61,1969-01-11,True
Olof,Pedersen,Villavägen 2,Nyköping,54998,Sverige,SE,20000521-5255,+46,064-197 45 54,2000-05-21,True
